EXT1	EXT2	EXT3	EXT4	EXT5	EXT6	EXT7	EXT8	EXT9	EXT10	EST1	EST2	EST3	EST4	EST5	EST6	EST7	EST8	EST9	EST10	AGR1	AGR2	AGR3	AGR4	AGR5	AGR6	AGR7	AGR8	AGR9	AGR10	CSN1	CSN2	CSN3	CSN4	CSN5	CSN6	CSN7	CSN8	CSN9	CSN10	OPN1	OPN2	OPN3	OPN4	OPN5	OPN6	OPN7	OPN8	OPN9	OPN10	EXT1_E	EXT2_E	EXT3_E	EXT4_E	EXT5_E	EXT6_E	EXT7_E	EXT8_E	EXT9_E	EXT10_E	EST1_E	EST2_E	EST3_E	EST4_E	EST5_E	EST6_E	EST7_E	EST8_E	EST9_E	EST10_E	AGR1_E	AGR2_E	AGR3_E	AGR4_E	AGR5_E	AGR6_E	AGR7_E	AGR8_E	AGR9_E	AGR10_E	CSN1_E	CSN2_E	CSN3_E	CSN4_E	CSN5_E	CSN6_E	CSN7_E	CSN8_E	CSN9_E	CSN10_E	OPN1_E	OPN2_E	OPN3_E	OPN4_E	OPN5_E	OPN6_E	OPN7_E	OPN8_E	OPN9_E	OPN10_E	dateload	screenw	screenh	introelapse	testelapse	endelapse	IPC	country	lat_appx_lots_of_err	long_appx_lots_of_err
3	5	3	3	1	2	2	3	3	3	5	2	5	1	5	5	5	5	5	2	1	3	3	4	2	5	3	3	5	2	2	5	5	5	2	5	4	2	2	3	3	5	5	3	3	3	4	2	4	4	12246	4096	4668	6743	11386	10459	1177	5447	4722	7595	8463	4378	3395	9941	11743	2876	5139	8674	6585	6549	6483	5698	5809	21487	2098	24070	11033	3116	3608	7858	9475	6314	5236	7577	12158	5523	3011	6009	4256	4397	5924	3960	9820	13415	6563	16532	5749	5464	7698	6902	2016-12-04T21:30:57Z	360	640	12	398	14	1	MX	19.4342	-99.1386
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4360	376	927	912	1031	1592	1088	465	751	448	1153	415	497	1321	456	441	1752	1544	408	681	687	623	681	680	25390	655	656	439	488	841	600	626	647	776	433	616	784	560	432	583	2823	5072	512	712	424	415	416	385	472	551	2018-08-30T04:10:30Z	1600	900	16	71	8	1	IN	21.0486	76.5344
5	2	3	3	3	2	3	5	3	3	4	5	4	3	4	5	4	5	5	2	3	4	1	4	1	5	1	3	3	3	3	2	3	3	3	3	4	3	5	4	2	5	3	1	3	2	3	1	5	3	13061	30431	6727	47726	3326	13260	8902	6659	4002	8290	5919	5485	4377	24330	6046	3848	6384	18500	6245	23643	46891	7243	6626	24837	4799	3120	4946	4664	3402	53649	7137	6690	7864	36728	4955	8522	3450	16418	4762	39634	6500	110432	92842	22261	5229	17144	4858	4380	8209	12449	2018-08-15T07:05:34Z	1366	768	39	841	8	44	US	37.3651	-79.9056
5	1	5	2	5	1	5	1	5	2	1	5	3	5	1	1	1	1	1	1	1	5	1	5	5	5	1	5	5	5	5	1	5	1	5	1	5	3	5	4	5	1	5	4	5	1	5	1	5	5	9265	2183	3193	5608	1992	4285	4908	7686	2906	4256	4690	3308	1200	4314	2754	3093	2936	2611	2718	2294	9710	2072	2113	4198	6138	7130	6814	4182	3946	3817	3612	4056	14818	2838	8404	4610	2274	9356	2812	15709	3718	3370	1554	6622	6631	3064	4480	4969	6800	3525	2016-05-29T19:50:50Z	1920	1080	4	240	23	2	US	38.0	-97.0
2	5	1	5	1	5	1	5	1	5	2	5	5	3	2	2	1	2	1	2	2	2	1	5	2	5	3	0	5	4	5	2	5	2	3	2	5	3	5	5	4	1	4	2	4	1	5	5	4	5	9970	1337	1373	1162	1450	2533	3047	3257	2228	2660	1570	3698	1907	2892	1135	2217	2132	2538	2832	1609	5418	1347	2493	2378	2972	892	5464	0	1445	9140	2162	4344	1301	1569	4810	2821	2265	4041	1765	3698	3211	3792	2243	2914	1708	2342	2259	1848	3034	1504	2017-10-06T09:53:36Z	1920	1080	1	139	16	1	DE	48.3372	7.8704
5	5	2	4	1	5	1	5	1	5	2	4	4	4	4	4	5	5	4	4	5	5	1	4	2	5	1	1	4	2	1	4	5	1	3	4	4	1	1	4	1	4	3	4	4	5	4	3	4	5	7449	2516	4288	2970	2030	2087	2965	4038	2474	8163	3835	6950	4146	1532	1916	3492	1958	2250	1062	956	1442	3183	3352	1650	3472	2113	2709	3362	2288	4586	4973	3660	3114	4595	3144	3552	2015	3958	6470	3694	3588	5542	2222	2118	3288	4048	2258	2330	1208	2446	2016-06-18T20:54:04Z	1280	800	4	165	18	1	NZ	-41.0	174.0
1	5	2	5	2	4	1	5	1	5	4	2	5	2	2	2	2	2	2	4	2	2	1	5	2	5	4	5	5	4	2	4	4	4	2	4	2	2	2	4	4	3	4	3	3	2	3	4	4	3	5369	3021	2491	2299	2282	2315	2921	3719	3725	2967	4081	5768	2198	2303	5204	2321	5633	2870	2270	2599	652	5728	3693	3073	5026	2308	4426	2682	2193	2776	8388	2364	2502	2899	2661	3331	2354	2731	2828	2466	4392	3857	2694	3068	2245	4188	3462	4149	5445	2679	2017-11-06T14:22:28Z	1024	1366	3	169	13	1	US	35.1155	-84.8211
2	1	3	1	5	1	5	1	5	2	1	3	5	1	3	1	3	3	2	1	3	3	1	4	2	3	3	5	5	5	5	1	5	2	3	1	5	1	3	5	4	2	5	3	5	1	4	5	5	5	26522	3649	4217	6633	4113	4756	11101	7065	3218	6736	9935	6281	4818	6330	3882	3957	7595	4967	5925	4509	8768	4320	7451	6854	12434	4713	6478	6568	3281	6018	8735	9334	4232	4699	21071	6077	6670	14849	5622	5357	5780	5482	4233	10055	2999	3614	5461	4016	6512	3651	2018-06-15T22:26:49Z	375	667	41	345	15	1	RO	46.0	25.0
3	1	4	2	5	2	3	4	4	2	5	4	4	2	3	4	4	3	3	3	1	5	1	5	1	5	1	4	5	5	3	5	4	3	1	4	4	1	2	4	5	3	4	3	4	4	4	5	5	4	16148	7736	7123	5042	4168	4894	6014	8197	4278	6135	3886	6023	4791	4260	5649	7225	4669	3955	3782	3269	2859	5070	3892	3422	9628	6580	4245	5593	2839	4161	8053	9320	9621	5449	14383	5033	6204	3009	5397	4613	4478	8545	2891	4385	10776	16105	6245	4450	6475	3473	2016-05-28T08:58:42Z	600	960	49	307	18	1	US	32.2835	-87.7632
3	3	4	3	4	2	4	3	3	4	4	2	5	3	1	2	4	3	3	3	1	5	1	4	1	5	1	4	4	4	4	1	5	3	4	2	5	2	4	3	4	2	4	2	3	2	4	2	5	3	6486	5341	3291	3636	2395	6298	6268	7430	2783	2700	1607	4996	3281	2466	5971	4710	8001	4178	3193	6779	3588	3203	3261	2434	3872	3704	3626	5793	2647	21068	2264	3399	24712	3813	3124	4169	2957	18575	2109	3793	2453	4533	1833	4007	1833	3104	3124	3508	2257	2177	2018-08-30T16:01:48Z	1366	768	257	247	10	1	US	38.0	-97.0
3	3	4	3	1	4	2	3	4	4	2	5	4	2	1	2	4	4	2	1	4	4	3	1	2	4	3	5	3	2	4	4	4	4	1	4	4	3	4	4	2	4	3	2	3	3	2	1	4	3	5801	4257	3868	6304	2928	1982	8156	2343	3084	18605	3362	27058	3831	20292	3316	1793	2151	4218	2752	1975	2826	2840	4638	6846	8977	2319	2601	6762	4981	3247	2469	3990	4765	4718	2830	13365	2592	4462	3532	4787	8966	5131	1969	2209	2238	2129	4493	5752	13881	2833	2018-02-08T11:37:34Z	1366	768	120	279	17	36	US	42.9612	-87.9928
1	2	4	3	4	2	1	4	2	4	4	2	5	2	2	3	4	4	2	2	2	4	1	4	2	4	2	4	4	5	4	5	5	2	1	5	5	2	5	5	4	3	3	2	4	2	4	4	5	4	10327	1318	1584	2577	2585	2274	3480	2032	2358	3635	2048	2884	1828	3224	3598	8372	3025	3783	4050	2123	3879	2140	2293	1757	2733	2019	2484	1471	3505	2720	3503	4982	2310	2131	2154	2910	1628	1280	2806	2985	4449	3105	3639	3667	1146	453	2189	3886	2228	3194	2018-02-01T18:59:33Z	375	667	7	148	16	1	US	38.0	-97.0
3	3	3	3	4	4	2	5	4	5	4	3	4	2	1	4	4	2	4	3	1	2	1	5	1	5	3	5	5	2	5	1	5	1	5	1	5	1	5	5	5	1	3	1	5	3	5	5	5	5	7535	1874	2210	2315	2244	4750	5736	1528	3541	1370	2773	1743	2129	5902	2054	10313	4557	5173	3478	6738	1733	3736	1464	3437	2028	1091	5364	1821	1429	4659	1321	890	1815	1541	3940	841	1479	1156	1357	1849	1758	2119	1898	1464	1554	7956	4235	3978	1491	872	2016-11-10T14:49:00Z	1536	864	4	149	8	1	US	37.5456	-97.2689
4	2	4	2	5	2	5	2	4	1	4	3	5	3	2	3	3	3	4	3	1	5	3	4	2	5	1	4	5	4	4	2	5	2	3	1	0	2	5	4	4	2	5	1	4	1	4	3	4	4	11056	3332	2585	3404	1998	1120	2980	2301	4979	4576	1704	2040	2368	1652	3201	2684	4768	3468	2312	2076	3723	2696	4492	1415	3401	2820	3304	2440	3141	1747	2400	3428	2492	3673	2771	3548	0	2913	784	4797	1900	3340	1547	3125	8196	3624	1991	1791	1196	1472	2018-03-22T21:45:30Z	1280	720	3	149	15	1	US	38.0	-97.0
3	3	2	4	3	2	2	3	3	4	4	3	5	1	3	3	3	3	4	3	1	3	2	4	2	3	2	3	4	3	4	4	5	4	1	3	4	3	3	4	4	2	5	2	3	2	5	3	5	3	4818	1478	2000	1359	1316	1270	1974	2022	1116	1261	4118	1051	1312	3744	1879	733	2658	1591	1478	1003	2121	1783	1486	2396	1711	3901	1614	701	1672	2915	1749	2921	1349	1001	1759	1927	1459	1323	1750	2139	1574	2288	2327	1600	1252	1404	3428	2763	2210	1475	2017-06-24T18:48:00Z	1280	800	183	97	9	1	US	38.0	-97.0
4	2	3	3	4	3	4	2	5	4	4	2	4	2	2	4	2	4	4	2	2	4	1	4	2	3	2	4	5	4	1	2	4	2	2	2	4	3	2	3	4	1	4	1	3	2	4	4	5	3	16245	7967	3785	4431	5401	4565	9317	4968	3866	1538	5850	5946	3932	6952	3282	3583	4467	3952	3218	3381	4080	5986	3734	7368	5419	7437	3415	4198	8287	2712	5519	8969	5468	3800	3348	7418	2937	3085	3262	4672	5266	5168	4770	5567	6784	5185	5032	3168	5833	3817	2016-06-04T22:51:21Z	1920	1080	229	261	17	1	US	40.6199	-74.4274
1	3	2	3	2	2	2	3	4	2	2	3	2	3	3	3	3	2	3	3	2	3	2	2	4	2	2	4	3	3	2	3	4	3	3	2	4	3	3	2	2	3	3	4	3	3	2	3	3	2	5927	1056	919	697	3000	857	711	640	1560	1021	336	808	744	823	367	848	503	792	375	631	926	384	425	488	959	536	2976	440	2336	929	384	1216	663	616	1464	544	633	440	697	616	944	376	1135	489	511	456	480	1047	392	768	2018-08-31T06:12:27Z	1920	1080	11	48	7	1	US	41.5074	-81.6053
5	2	5	2	4	2	4	3	4	3	1	5	2	3	2	1	3	2	3	3	4	4	3	4	2	2	2	4	4	5	3	1	4	3	1	2	3	3	2	4	5	1	1	2	4	1	4	4	4	4	36038	3214	3159	3149	3121	5447	4248	8332	4491	7985	6542	31491	3377	6546	7303	7378	6942	6070	8054	3695	5315	10895	5380	2952	7992	2841	3811	6713	6513	4971	9052	7633	3961	5195	4988	4991	3740	4397	2620	8851	4348	3888	5319	5046	11867	5715	2408	2084	6010	2592	2016-11-24T06:06:32Z	1920	1080	46	330	21	1	GB	53.7819	-0.356
3	1	3	3	5	1	3	3	5	3	1	5	5	3	1	3	3	3	1	1	1	5	1	3	1	5	1	5	5	5	3	3	5	5	3	5	3	1	3	5	5	1	5	1	5	1	5	5	5	5	10364	1886	2820	3770	1517	2301	4569	3588	2618	3135	2085	7161	3585	5654	3086	2270	2884	2233	1738	2699	5035	3199	2066	5770	2883	2384	2967	4749	1720	2053	2667	39621	2102	2849	4302	4903	2718	27350	1999	3385	2551	2945	2634	3485	1968	1984	2336	2467	3246	1168	2016-03-03T16:02:31Z	1280	800	2	221	4	1	FR	43.3116	3.4177
3	4	2	4	2	4	2	5	2	5	1	4	4	3	1	4	2	1	3	2	2	4	2	4	2	4	2	5	2	2	5	2	5	2	1	4	4	2	2	4	4	3	5	4	3	4	4	4	2	2	10759	3089	5883	3992	944	5316	1112	3667	2466	3527	2731	7468	3886	2343	3291	8070	8948	4525	3153	907	1616	2809	998	1060	3344	1904	21942	5354	1102	3242	3120	3078	2580	3914	2315	2179	2411	3480	6576	4172	1653	3304	2041	2934	2018	3593	2356	13766	6051	703	2016-03-17T22:41:38Z	360	640	8	203	8	1	CR	9.9333	-84.0833
1	1	2	5	1	1	1	5	2	5	5	3	4	2	2	3	5	3	4	2	1	3	1	5	1	5	1	5	5	5	4	4	5	2	2	4	5	3	5	5	5	1	5	1	5	1	5	5	5	5	0	0	12588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14876	0	0	40041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2018-10-31T11:45:37Z	1920	1080	6	436	5	2	US	39.6456	-79.9433
2	3	2	5	1	3	1	5	2	5	5	4	5	1	4	5	5	5	5	5	1	3	1	5	4	5	3	5	5	3	3	1	5	1	4	1	5	1	5	5	5	4	5	1	2	3	3	5	5	4	4419	2200	3333	1556	3024	2220	4610	2902	4012	1864	2542	4359	1561	2512	4481	1988	1879	2115	1925	1585	2940	2140	2259	2192	2267	2439	3278	3258	4295	2939	3059	3294	3430	2762	10620	2799	2172	19137	1712	24913	1701	5888	1965	4587	2727	2528	2100	2264	2079	2132	2018-03-21T07:54:30Z	1366	768	21	187	11	55	US	34.7339	-86.6456
3	3	3	3	3	3	1	3	3	3	3	5	4	3	4	3	2	2	4	2	4	3	1	4	3	5	2	4	3	4	4	2	5	1	4	2	4	3	4	3	2	3	3	3	3	3	3	2	3	3	22526	3015	7687	1264	5529	3384	6584	2320	5735	5296	2288	8811	3392	3664	2616	2823	4631	5640	1928	5858	8668	4064	4824	4096	6706	3543	5888	6399	3320	4488	3865	9417	3289	6185	4135	7441	2815	4009	4481	6513	3960	4209	5935	6167	6753	8497	6900	2448	3143	2136	2016-08-31T20:13:05Z	1920	1080	557	261	44	270	AU	-37.8139	144.9634
4	1	5	2	5	2	5	1	4	1	4	2	4	3	3	3	4	4	3	3	4	4	3	3	3	3	3	4	2	4	4	4	4	2	3	3	4	1	4	4	4	1	4	1	4	5	4	3	3	5	4261	2856	1784	3912	1983	1576	7591	1944	2039	3561	4032	3161	1616	1944	2344	1648	5545	3440	2303	3473	5927	3976	2841	3097	3776	2160	2528	3728	4481	2119	1417	2567	2583	7543	2064	4976	2568	1920	4128	3000	2752	4239	1632	3273	2248	2824	3153	3864	3112	1632	2018-07-19T08:14:14Z	1920	1080	5	158	20	1	US	38.0	-97.0
5	2	5	1	5	2	4	1	5	5	4	4	5	3	1	2	1	1	1	1	1	5	1	1	5	5	1	1	4	5	4	5	5	1	2	2	3	5	5	2	4	2	4	5	5	1	5	1	2	5	38692	8938	3798	11860	4735	6491	20485	7173	8657	38423	12267	5110	8329	15845	13642	15954	6062	99974	70332	11500	8532	5844	6469	9828	5953	4985	6797	14953	6657	14564	8453	5953	6672	4282	11594	13891	6501	4157	4062	55441	7250	11625	5953	11094	4619	6594	3938	8203	11470	5516	2017-08-07T09:38:06Z	1366	768	311	699	30	1	ET	8.0	38.0
1	3	3	2	3	3	2	3	4	4	2	3	4	4	3	2	2	1	2	2	1	5	1	5	1	3	1	4	5	3	2	4	4	3	3	4	5	2	5	3	3	3	4	3	3	3	3	2	4	3	4666	13008	3108	8037	2256	4793	5591	6327	3357	2356	4072	3938	4381	3305	2608	2354	3226	3461	2057	2364	3915	7845	3764	2979	3150	2067	4666	2289	2604	1973	6036	555	7892	2300	3584	4099	2952	6363	1804	2851	2669	3010	1122	3933	2165	8631	3748	4309	12636	1909	2017-02-26T19:54:52Z	360	640	3	205	12	1	HK	22.2833	114.15
1	5	2	5	1	3	1	5	1	5	5	3	5	3	4	5	4	4	3	3	1	3	3	5	3	5	3	4	3	3	3	5	5	3	3	3	4	3	2	3	1	5	2	3	3	3	3	1	3	3	10176	3855	4576	6536	2760	3752	4936	4832	4008	3776	4312	5712	3184	7716	4080	3584	6208	4017	3656	1808	12111	4160	7224	2712	3280	3640	4056	5975	2384	3864	5929	6224	8936	6376	2792	4792	3544	3728	4080	5976	2920	7824	5408	5140	3632	7072	4792	7247	2376	2560	2016-03-08T09:08:21Z	1440	900	3	245	67	1	US	41.0814	-81.519
3	2	3	3	0	4	3	3	3	5	5	1	5	3	3	4	5	5	4	3	5	4	3	5	2	4	3	5	5	5	4	3	5	4	3	5	4	3	4	3	4	4	4	2	0	3	5	3	5	4	12177	2251	1285	8401	0	6070	2332	14834	3582	3387	5682	49600	4433	17050	8108	880	1765	4518	3159	1210	12843	12150	9149	5113	9435	778012	30956	4104	3383	5137	1091	7448	4266	5636	8741	5984	6793	4394	6676	9641	30467	18885	11651	7016	0	6088746	26118	3804	4429	6358	2016-12-13T03:54:17Z	320	568	55	7280	21	1	PE	-12.0433	-77.0283
5	1	5	1	5	1	5	1	2	1	5	4	5	2	1	4	2	1	2	2	1	5	3	5	1	5	1	5	5	5	2	5	5	4	2	5	3	2	4	4	5	1	5	1	4	1	4	5	5	5	4507	2882	2601	1198	2938	2514	2022	2066	5487	5822	2013	3822	2538	4815	3038	1902	3704	5601	2874	1365	1659	2350	2566	2313	3695	1877	1826	3126	10350	1678	2097	2042	5043	3679	3462	2514	2113	3103	2774	4466	3199	3207	10332	2126	5168	1561	3622	2073	2078	1697	2016-03-21T07:20:53Z	1280	800	11	164	12	1	US	32.7831	-79.937
3	3	3	3	4	2	3	3	2	3	2	3	3	2	2	3	2	2	3	2	2	3	4	4	3	2	2	4	4	4	3	2	4	2	2	2	3	2	4	3	3	2	5	2	4	1	4	3	4	5	3739	1984	1880	2335	2520	3128	2064	2519	6472	2576	3896	1992	2320	2232	4640	1280	2600	3608	2024	22088	2919	1568	1592	2992	2056	2000	3496	2360	1880	1816	3392	3360	5632	3328	4224	3392	3344	4824	2552	6056	1720	3384	1360	23320	1400	2520	2480	3616	2800	3176	2018-03-01T10:47:35Z	1920	1080	2	209	8	3	US	40.6944	-73.9906
2	3	5	3	3	5	3	5	2	5	5	3	5	3	1	4	5	3	5	3	1	5	3	5	1	3	1	5	5	3	3	5	5	4	2	2	4	2	3	3	4	1	5	1	5	1	5	3	5	5	9263	2881	3356	3867	2383	2167	4201	2667	4147	2719	2282	3246	581	4095	3498	2669	2838	5582	4918	4213	4276	2054	2280	2367	4135	3298	23154	6635	2254	17000	4135	2967	5819	3168	5518	6868	1898	16987	3447	3153	4487	7503	2684	3017	1786	2965	1551	2901	5167	5084	2018-09-22T10:42:57Z	414	736	89	237	18	14	US	38.0	-97.0
4	2	1	3	3	2	3	4	4	5	4	2	3	4	4	2	2	1	3	3	3	3	3	5	3	5	3	3	5	4	4	3	5	3	2	3	4	3	2	4	3	2	4	2	4	2	5	2	5	4	6877	3066	3568	4491	5977	2582	6056	7249	2792	3887	2130	4811	3546	4470	4711	3754	2069	3626	4508	3846	5716	2600	2953	7012	3607	1919	5444	4831	2611	4159	3677	1768	2663	10488	2573	5150	2029	2330	5784	4871	2090	3717	2873	5827	1537	3687	3466	3374	4389	2531	2016-12-01T12:04:29Z	1366	768	4	200	18	1	US	47.4891	-122.2908
3	2	3	2	3	1	1	4	1	4	2	2	3	4	1	2	4	4	2	1	4	2	2	2	5	1	5	2	3	4	5	4	5	1	2	2	5	1	4	5	5	4	3	5	4	2	5	5	4	4	11643	3550	2984	4052	5066	2684	3083	3349	3018	2734	6400	11084	3217	6202	3284	9351	2367	1549	1867	1416	9901	5200	6719	5932	3384	2465	4184	5501	5468	3366	2418	1885	2332	1717	3000	4318	1100	5452	1516	1334	1650	11050	3450	3150	1401	5017	2084	4700	4333	2051	2016-06-21T17:01:30Z	1440	900	6	206	13	2	US	34.1519	-118.6002
4	1	2	1	4	1	4	4	4	2	5	2	5	1	5	5	3	4	4	5	3	3	1	4	2	5	4	4	5	4	2	5	1	5	1	5	1	3	1	3	3	1	5	1	4	2	1	3	5	5	17507	5410	19527	5616	5271	3191	13664	5153	2153	6658	7859	5109	2212	4166	3514	2312	3982	12998	3002	1984	9745	2470	4138	6872	12408	2428	7866	9185	4882	8029	11203	4640	3641	4982	212662	11790	4337	7257	3318	3755	3671	9033	3317	3653	3013	3613	8929	5967	5622	1792	2017-05-13T09:40:29Z	1366	768	53	518	18	1	US	46.7324	-117.0002
3	3	2	4	2	4	2	5	1	4	4	4	4	3	1	1	2	2	4	3	2	4	1	5	2	5	2	4	4	3	2	2	4	2	2	2	4	3	4	3	2	2	3	1	4	2	4	2	4	4	11792	5153	7067	5864	10583	3809	8500	3226	3632	3137	3493	8265	1791	4196	4802	2901	7946	13849	2317	2416	6908	3348	2483	3032	5418	3097	3500	5593	1487	4149	16401	6349	7470	4565	10134	4241	2254	733	3481	6150	5848	6151	4533	5485	2187	3166	2585	1551	4799	4721	2018-04-27T04:52:01Z	375	667	9	258	11	1	ES	40.4	-3.6833
1	4	2	5	4	4	2	4	2	5	5	2	5	2	4	4	4	4	4	4	2	4	4	4	2	4	2	4	4	4	5	2	4	2	4	2	5	2	5	4	3	2	5	2	4	1	4	4	5	5	14314	3162	3788	2000	2829	1475	2939	2262	2009	4161	2869	2737	2253	3455	1737	2000	2817	2696	1929	1596	2606	1606	2081	2202	2038	1890	3635	1616	10978	1676	2233	2890	2726	3434	1941	7686	1819	13062	1899	3091	2233	7425	1263	2960	1535	1748	1242	1909	1788	1474	2017-04-06T20:53:44Z	1366	768	521	160	23	1	US	38.0	-97.0
2	5	2	5	3	5	2	5	5	5	5	2	5	3	4	5	5	5	5	5	5	4	2	3	5	4	5	5	5	5	4	4	4	3	3	4	5	5	5	5	5	3	5	2	5	1	5	4	5	5	5575	820	2498	1996	3291	1211	4158	1924	3195	1499	1978	2285	2120	2353	1486	1857	1328	1306	1347	1386	3866	1903	4389	4160	3090	2089	4370	1268	794	1592	2585	3957	2642	2215	2903	3505	1229	3540	1011	1989	3386	3131	1600	2286	2132	2502	1415	1872	1680	1087	2018-05-06T03:37:17Z	1440	900	14	120	9	1	IN	12.9833	77.5833
1	4	2	5	2	2	0	5	2	5	2	2	5	2	4	1	2	1	4	4	2	3	1	5	2	5	1	3	4	3	3	3	4	4	1	3	4	3	3	3	4	2	4	3	3	2	4	4	4	4	4638	2792	5994	2463	10364	10634	0	562	5155	2547	4038	5880	2719	1722	7549	4318	3952	4079	4863	5494	4462	2242	1534	2635	3297	12820	8183	4409	3774	11333	4420	10380	7677	1979	3303	844	4513	5387	2464	3367	2205	5805	3462	3508	3924	4973	6626	2937	3405	750	2016-08-10T18:52:38Z	360	640	6	230	14	1	US	39.9537	-82.9317
2	3	4	4	4	2	2	4	2	5	3	3	4	3	2	1	2	1	2	2	1	5	1	5	1	4	2	4	4	4	4	4	4	2	1	4	4	2	4	4	5	1	4	2	4	5	4	5	4	4	5081	3769	3584	1792	4248	3088	2768	1888	2728	2256	2320	4464	2360	5208	3352	3520	2280	1896	1808	833	2143	2080	1928	1856	3072	2112	3320	2432	1960	2712	2496	2479	1872	3648	1512	3880	1672	2680	1672	3920	1592	1672	1656	2296	2440	1520	1624	1976	2120	1231	2018-01-09T13:59:29Z	1600	900	4	128	10	17	US	44.7457	-91.5132
3	3	3	3	4	2	2	2	1	3	4	3	4	2	2	4	3	2	2	3	1	5	1	5	1	5	1	5	5	0	4	1	3	1	4	1	4	1	5	5	5	1	2	1	4	4	5	4	5	5	8504	2712	2336	2256	3080	2320	8240	2256	1536	2912	2911	7296	1846	3529	2176	11897	1488	1808	5457	2896	2895	2241	5424	2952	1984	1736	1328	2369	2448	0	3882	6465	6889	1576	2697	8522	1937	3544	2785	5969	2193	1769	2289	3104	1825	4784	2248	3609	2128	5529	2018-10-09T13:04:13Z	1920	1080	2	175	19	2	US	34.1019	-117.2762
3	3	3	3	3	2	2	5	3	4	4	2	5	1	4	4	3	2	4	4	2	3	3	4	2	2	2	3	4	3	2	4	4	4	3	4	4	4	2	4	4	2	4	2	4	2	4	4	4	4	7951	11873	8117	3725	1339	3044	11209	3907	3308	2203	3826	4043	6332	4090	2962	2638	3795	2249	1814	1950	4732	73700	5023	3014	2478	2734	3198	4182	3431	6297	2912	4746	2193	1966	3044	4659	3683	4258	4960	7252	2499	3120	23677	5375	6854	3471	3915	6173	2358	2392	2016-08-18T17:59:02Z	960	600	4	300	13	1	GB	52.3686	-1.97
1	4	3	4	2	4	1	4	2	5	3	4	3	2	3	2	2	2	2	4	2	3	1	4	2	4	2	4	4	4	3	4	2	2	2	4	3	2	3	3	2	2	4	2	2	3	4	2	3	3	3942	2970	2577	2105	2397	1237	3756	879	3204	2250	1204	5501	3748	5242	2418	3185	1800	1745	1553	1779	2357	5366	1833	1449	2015	4254	2014	2373	2510	3318	3712	889	3092	2262	1969	1933	1902	2856	2663	4218	1474	2013	1822	2992	3859	944	3723	1904	3510	1315	2017-03-19T17:34:36Z	1366	768	912	131	11	1	DE	51.0	9.0
3	2	4	2	5	2	4	4	4	2	3	3	2	4	3	2	2	2	2	2	1	5	1	5	2	5	1	5	5	4	2	4	3	2	1	4	4	4	2	2	3	1	4	1	3	1	4	3	3	4	718	6365	5151	3563	7673	6003	7169	3081	16642	11616	3115	3534	6124	7453	4252	2249	3383	2935	1114	1979	11559	5139	2099	2658	2664	3021	3185	2970	1119	2602	3588	20559	4601	1418	3471	18191	5074	6534	8007	3006	1021	5203	7734	1732	715	7437	4337	3101	12742	2572	2018-01-03T00:51:22Z	375	667	4	264	12	1	US	41.2586	-95.9378
2	4	3	4	2	2	2	4	3	4	3	3	4	2	2	2	3	3	2	5	1	5	1	5	1	4	1	5	5	4	2	3	4	2	3	2	5	3	4	4	5	2	5	2	4	1	4	4	4	4	8944	2114	1515	1504	2719	1859	2388	2528	2558	4221	1389	1121	1424	1779	5344	3031	1908	1301	1403	4387	3236	1730	1909	2828	1998	1390	2034	3454	5518	2013	4876	6019	1731	2375	3753	4641	1860	2560	1490	2142	2310	2613	1699	2956	2109	2221	1906	1454	2170	3425	2017-11-26T04:20:47Z	1366	768	8	136	8	1	DE	47.6667	9.1833
4	3	2	3	5	2	1	2	3	2	5	2	5	4	2	4	4	4	4	2	1	3	4	4	2	5	2	4	2	5	2	4	4	4	1	4	2	2	1	4	4	2	4	2	4	2	4	4	4	5	14328	2792	6509	2080	4767	5523	8104	11591	5709	2010	7142	3014	2321	3068	3069	2471	6895	3055	1238	2187	8310	2024	4373	2563	8286	10027	9050	4970	4537	7104	4183	11840	10761	10190	3226	4099	5473	3278	4693	3835	1875	4874	5700	5928	5224	4755	2570	2115	25465	2366	2017-01-16T19:28:58Z	1920	1080	7	282	8	1	US	38.0	-97.0
1	2	3	3	5	1	3	4	1	3	4	1	5	3	3	4	4	3	4	3	1	5	1	5	1	4	1	5	5	4	4	1	4	2	3	1	5	1	5	4	3	1	1	5	3	1	3	3	5	3	7452	5654	8432	3233	2886	3267	5119	6100	7135	3418	5401	3251	4038	9503	2899	3134	3921	3080	4598	2517	7862	3265	1100	2866	4006	3265	4332	3954	2833	3699	5767	3583	3250	3518	6246	4637	2785	7619	2951	6136	4234	3384	4549	6697	3968	3132	4697	2666	3369	2815	2017-10-17T10:24:23Z	414	736	77	219	17	1	US	40.7268	-73.6343
